,tconst,liste_realisateurs,liste_acteurs,TitreOriginal,anneeSortie,duree,genres,noteMoyenne,nbVotes,titreVF,types,id,original_language,notePonderee
1757,tt2207072,['nm2056306'],"['nm0094993', 'nm0200702', 'nm1616970', 'nm0217817', 'nm3391699', 'nm1350207', 'nm1866921', 'nm0377564', 'nm3900790', 'nm2530687']",Eyjafjallajökull,2013,92,['Comedy'],5.6,4474,Eyjafjallajökull,imdbDisplay,219318,fr,5.04
1758,tt4426656,['nm2312933'],"['nm0753737', 'nm0035128', 'nm1600229', 'nm3148447', 'nm2028613', 'nm5653655', 'nm7381491', 'nm7381492', 'nm5980407', 'nm4782158']",The Wakhan Front,2015,100,"['Drama', 'Fantasy', 'Mystery']",6.3,1227,Ni le ciel ni la terre,imdbDisplay,336663,fr,5.04
1759,tt5313906,"['nm1438228', 'nm4214224']","['nm0193191', 'nm0159177', 'nm0549566', 'nm0866496', 'nm7828487', 'nm1292832', 'nm8804080', 'nm1523727', 'nm0506426', 'nm1095672']",Zombillenium,2017,78,"['Animation', 'Comedy', 'Family']",6.3,1157,Zombillénium,imdbDisplay,454549,fr,5.04
1760,tt0187457,['nm0094726'],"['nm0524528', 'nm0452161', 'nm0148982', 'nm0681566', 'nm0480942', 'nm0524217', 'nm0687914', 'nm0100280', 'nm0099136', 'nm0046347']",Nothing About Robert,1999,107,"['Comedy', 'Drama']",6.3,1078,Rien sur Robert,imdbDisplay,72375,fr,5.04
1761,tt3136752,['nm0053613'],"['nm0040939', 'nm0067367', 'nm0836681', 'nm0059971', 'nm0818686', 'nm0179684', 'nm0411473', 'nm1026008', 'nm0219102', 'nm0078517']",The Last Diamond,2014,108,"['Crime', 'Drama', 'Thriller']",6.3,1796,Le dernier diamant,imdbDisplay,269714,fr,5.04
1762,tt0291538,['nm0001945'],"['nm0045870', 'nm0220183', 'nm0146165', 'nm0291790', 'nm0007796', 'nm0106924', 'nm1326769', 'nm1326291', 'nm0173394', 'nm1492545']",A Housekeeper,2002,91,"['Comedy', 'Drama', 'Romance']",6.3,1918,Une femme de ménage,imdbDisplay,34840,fr,5.04
1763,tt19858184,['nm3516084'],"['nm0000366', 'nm0687914', 'nm0904273', 'nm0320812', 'nm0830802', 'nm0898798', 'nm0008506', 'nm6113836', 'nm0217783', 'nm0776424']",Bernadette,2023,92,"['Biography', 'Comedy', 'Drama']",6.3,1161,Bernadette,imdbDisplay,961084,fr,5.04
1764,tt6559390,['nm0316306'],"['nm0512071', 'nm1863193', 'nm1253936', 'nm0851458', 'nm0530581', 'nm0221727', 'nm0313813', 'nm0529745', 'nm5638312', 'nm9619250']",The Apparition,2018,144,"['Drama', 'Mystery']",6.3,1917,L'apparition,imdbDisplay,482712,fr,5.04
1765,tt0356922,['nm0687913'],"['nm0687914', 'nm0112811', 'nm0044535', 'nm0034079', 'nm0723623', 'nm0332709', 'nm0003909', 'nm0061630', 'nm0133713', 'nm1060768']",The Mystery of the Yellow Room,2003,118,"['Comedy', 'Crime', 'Mystery']",6.3,1915,Le Mystère de la chambre jaune,imdbDisplay,37351,fr,5.04
1766,tt1526578,['nm0538977'],"['nm1873574', 'nm2079554', 'nm2409570', 'nm2409570', 'nm2623983', 'nm1268982', 'nm7135393', 'nm2369728', 'nm4130506', 'nm4130898', 'nm4131285']","Ao, le dernier Néandertal",2010,84,"['Adventure', 'History']",6.3,1911,"Ao, le dernier Néandertal",imdbDisplay,56623,fr,5.04
1767,tt0329584,['nm0527852'],"['nm0000882', 'nm0045870', 'nm0141140', 'nm0693799', 'nm0094724', 'nm1441532', 'nm0116254', 'nm0717581', 'nm0762653', 'nm0508888']",Feelings,2003,94,"['Drama', 'Romance']",6.3,1112,Les sentiments,imdbDisplay,18461,fr,5.04
1768,tt9068100,['nm1992193'],"['nm2316151', 'nm0221072', 'nm1064614', 'nm3051898', 'nm0491751', 'nm4885985', 'nm0958346', 'nm0140652', 'nm1932229', 'nm5616693']",Ghost Town Anthology,2019,97,"['Comedy', 'Drama', 'Fantasy']",6.3,1523,Répertoire des villes disparues,imdbDisplay,568790,fr,5.04
1769,tt2121304,['nm2182866'],"['nm0500976', 'nm2588665', 'nm1249052', 'nm1249052', 'nm2454487', 'nm0076889', 'nm0619600', 'nm0222593', 'nm0903985', 'nm0167859', 'nm1763487']",Gibraltar,2013,116,"['Crime', 'Thriller']",6.3,1527,Gibraltar,imdbDisplay,204046,fr,5.04
1770,tt0092797,['nm0001031'],"['nm0539022', 'nm0000528', 'nm0672269', 'nm0435726', 'nm0435726', 'nm0862432', 'nm0449219', 'nm0496010', 'nm0218978', 'nm0308502', 'nm0116178']",The Cry of the Owl,1987,102,"['Crime', 'Drama', 'Mystery']",6.3,1111,Le Cri du hibou,imdbDisplay,66135,fr,5.04
